City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
138,Khatanga,RU,71.9667,102.5,-17.7,86,74,2.89,broken clouds
139,Lugovoy,KZ,42.9472,72.7644,27.61,85,100,4.56,overcast clouds
140,Yatou,CN,37.15,122.3833,37.63,56,100,9.73,overcast clouds
141,Kaitangata,NZ,-46.2817,169.8464,54.93,78,100,10.18,overcast clouds
142,Gombe,NG,10.2897,11.1673,71.55,21,59,8.23,broken clouds
143,Butaritari,KI,3.0707,172.7902,82.76,70,91,13.33,overcast clouds
144,Urucara,BR,-2.5364,-57.76,74.53,97,100,1.66,light rain
145,Cabo San Lucas,MX,22.8909,-109.9124,79.52,49,5,3.53,clear sky
146,Quatre Cocos,MU,-20.2078,57.7625,76.08,86,17,12.66,moderate rain
147,Moa,CU,20.6569,-74.9403,75.97,76,16,10.8,few clouds
148,Acarau,BR,-2.8856,-40.12,78.94,83,92,10.31,overcast clouds
149,Najran,SA,17.4924,44.1277,62.38,36,2,7.27,clear sky
150,Northam,GB,51.0333,-4.2167,50.41,96,100,19.98,overcast clouds
151,Zirgan,RU,53.2222,55.9185,14.18,97,99,5.03,overcast clouds
152,Ballina,AU,-28.8667,153.5667,77.18,88,80,14.79,broken clouds
153,Tazovskiy,RU,67.4667,78.7,-8.01,89,6,15.26,clear sky
154,Singleton,AU,-32.5667,151.1833,74.91,60,90,7.85,overcast clouds
155,Beringovskiy,RU,63.05,179.3167,-19.37,92,9,7.11,clear sky
156,Biloela,AU,-24.4167,150.5,82.0,42,0,13.15,clear sky
157,Ambilobe,MG,-13.2,49.05,72.95,96,92,2.33,light rain
158,Itarema,BR,-2.9248,-39.9167,78.94,82,92,9.73,overcast clouds
159,Marawi,PH,7.9986,124.2928,65.64,75,100,1.28,overcast clouds
160,Luderitz,NA,-26.6481,15.1594,73.35,66,4,8.63,clear sky
161,Vanderhoof,CA,54.0166,-124.0198,37.96,96,100,1.28,overcast clouds
162,Muravlenko,RU,63.7898,74.523,-12.15,96,6,11.81,clear sky
163,Macenta,GN,8.5435,-9.471,68.68,20,18,2.53,few clouds
164,Ucluelet,CA,48.9329,-125.5528,55.09,80,8,2.46,clear sky
165,Shingu,JP,33.7333,135.9833,44.91,57,94,4.12,light rain
166,Biak,ID,-0.9131,122.8766,75.31,89,100,4.32,overcast clouds
167,Tuatapere,NZ,-46.1333,167.6833,53.82,70,100,8.43,overcast clouds
168,Chifeng,CN,42.2683,118.9636,8.69,83,87,4.32,overcast clouds
169,Dingle,PH,10.9995,122.6711,78.78,84,40,8.88,scattered clouds
170,Airai,TL,-8.9266,125.4092,66.47,80,76,3.0,broken clouds
171,Kailua,US,21.4022,-157.7394,81.81,65,0,10.36,clear sky
172,Nanortalik,GL,60.1432,-45.2371,30.15,95,100,11.61,light snow
173,Rio Gallegos,AR,-51.6226,-69.2181,64.45,32,75,12.66,broken clouds
174,Mujiayingzi,CN,42.1167,118.7833,8.42,81,94,3.71,overcast clouds
175,Hun,LY,29.1268,15.9477,51.44,46,0,6.29,clear sky
176,Dois Vizinhos,BR,-25.7336,-53.0572,69.82,78,61,1.36,light rain
177,Kuressaare,EE,58.2481,22.5039,36.95,87,75,15.99,broken clouds
178,Kruisfontein,ZA,-34.0033,24.7314,70.56,94,99,8.97,light rain
179,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,62.35,78,100,6.58,overcast clouds
180,Iqaluit,CA,63.7506,-68.5145,-30.78,97,100,3.8,overcast clouds
181,Laguna,US,38.421,-121.4238,79.25,43,0,5.75,clear sky
182,Fort Nelson,CA,58.8053,-122.7002,23.99,94,100,3.53,overcast clouds
183,Tosno,RU,59.54,30.8775,36.63,98,100,9.69,light snow
184,Upernavik,GL,72.7868,-56.1549,9.9,88,100,27.07,light snow
185,Zholymbet,KZ,51.7433,71.7122,17.28,94,96,12.41,overcast clouds
186,Siva,EG,29.2041,25.5195,54.18,59,0,3.67,clear sky
187,Sioux Lookout,CA,50.1001,-91.917,-10.1,94,100,2.46,overcast clouds
188,Carlyle,US,38.6103,-89.3726,22.3,75,49,3.0,scattered clouds
189,Labuhan,ID,-6.8844,112.2051,78.48,84,100,5.99,light rain
190,La Solana,ES,38.9442,-3.2381,47.44,69,56,5.77,broken clouds
191,Hailar,CN,49.2,119.7,-28.28,100,100,3.74,overcast clouds
192,Port Blair,IN,11.6667,92.75,74.93,74,28,12.19,scattered clouds
193,Weligama,LK,5.9667,80.4167,74.8,88,93,1.36,overcast clouds
194,Nsanje,MW,-16.92,35.262,71.26,95,82,1.86,broken clouds
195,Natitingou,BJ,10.3042,1.3796,75.81,14,40,5.97,scattered clouds
196,Zelenoborsk,RU,61.4669,64.0333,-4.83,100,100,4.72,overcast clouds
197,Jacareacanga,BR,-6.2222,-57.7528,73.96,97,100,1.92,light rain
198,Muros,ES,42.7762,-9.0603,50.85,94,33,10.65,scattered clouds
199,Yermakovskoye,RU,53.2831,92.4003,-23.12,100,52,0.54,broken clouds
200,Los Llanos De Aridane,ES,28.6585,-17.9182,62.35,77,75,12.66,broken clouds
201,Khandbari,NP,27.3747,87.2039,47.48,59,1,3.44,clear sky
202,Klaksvik,FO,62.2266,-6.589,40.12,96,94,23.06,overcast clouds
203,Srednyaya Akhtuba,RU,48.7089,44.8667,28.06,92,99,11.7,overcast clouds
204,Salinopolis,BR,-0.6136,-47.3561,78.22,87,45,8.84,scattered clouds
205,Ust-Nera,RU,64.5667,143.2,-32.67,98,63,2.75,broken clouds
206,Nikel,RU,69.4128,30.222,-0.22,97,13,7.0,few clouds
207,Gat,IL,31.61,34.7642,54.39,100,0,0.94,clear sky
208,Ostrovnoy,RU,68.0531,39.5131,4.28,96,61,3.58,broken clouds
209,Port Macquarie,AU,-31.4333,152.9167,69.89,64,100,6.85,overcast clouds
210,Thinadhoo,MV,0.5333,72.9333,81.23,72,100,10.07,overcast clouds
211,Luganville,VU,-15.5333,167.1667,79.09,89,100,7.02,overcast clouds
212,Meulaboh,ID,4.1363,96.1285,76.51,86,99,4.56,overcast clouds
213,Nairobi,KE,-1.2833,36.8167,60.33,76,84,4.54,broken clouds
214,Nouadhibou,MR,20.931,-17.0347,66.43,68,64,20.33,broken clouds
215,Georgetown,MY,5.4112,100.3354,78.89,80,20,5.75,few clouds
216,Paraiso,CR,9.8383,-83.8656,66.96,96,56,4.05,broken clouds
217,Lima,PE,-12.0432,-77.0282,74.89,66,75,6.91,broken clouds
218,Lasa,IT,46.6166,10.7002,27.01,41,25,1.41,scattered clouds
219,Acapulco,MX,16.8634,-99.8901,82.22,61,75,5.75,broken clouds
220,Rawson,AR,-43.3002,-65.1023,74.75,28,94,12.97,overcast clouds
221,Conde,BR,-7.2597,-34.9075,80.06,83,40,4.61,scattered clouds
222,Savannah Bight,HN,16.45,-85.85,79.0,80,0,22.08,clear sky
223,Magistralnyy,RU,56.1725,107.4458,-33.75,100,85,2.17,overcast clouds
224,Buckingham,GB,51.9997,-0.9878,46.35,91,100,5.01,overcast clouds
225,Vestmannaeyjar,IS,63.4427,-20.2734,31.86,77,32,8.77,scattered clouds
226,Baruun-Urt,MN,46.6806,113.2792,-14.84,100,83,5.35,broken clouds
227,Mehnagar,IN,25.8833,83.1167,47.95,67,0,4.29,clear sky
228,Ahipara,NZ,-35.1667,173.1667,70.92,68,70,19.55,broken clouds
229,Whitehorse,CA,60.7161,-135.0538,38.1,60,33,14.67,scattered clouds
230,Surt,LY,31.2089,16.5887,56.44,62,0,7.87,clear sky
231,Milevsko,CZ,49.4509,14.36,32.56,99,23,6.76,few clouds
232,Margherita,IN,27.2833,95.6833,49.48,90,0,2.37,clear sky
233,Lyuban,BY,52.7985,28.0048,27.48,78,40,9.42,scattered clouds
234,Charters Towers,AU,-20.1,146.2667,81.23,53,1,13.06,clear sky
235,Lavrentiya,RU,65.5833,-171.0,-10.57,91,11,7.18,few clouds
236,Tabou,CI,4.423,-7.3528,78.33,87,28,5.91,scattered clouds
237,Berlevag,NO,70.8578,29.0864,24.1,77,41,20.2,scattered clouds
238,Baykit,RU,61.67,96.37,-16.33,100,38,2.57,scattered clouds
239,Sistranda,NO,63.7256,8.834,39.9,69,100,12.91,light rain
240,Pisco,PE,-13.7,-76.2167,70.02,78,0,17.27,clear sky
241,Fairbanks,US,64.8378,-147.7164,6.82,71,0,0.0,clear sky
242,Bangkalan,ID,-7.0455,112.7351,75.15,85,100,2.21,moderate rain
243,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.71,87,97,2.66,overcast clouds
244,Pathein,MM,16.7833,94.7333,62.89,71,76,6.64,broken clouds
245,Churapcha,RU,62.0025,132.4325,-21.69,99,100,2.19,overcast clouds
246,Tura,IN,25.5198,90.2201,52.84,80,0,4.29,clear sky
247,Vao,NC,-22.6667,167.4833,80.47,78,97,3.44,overcast clouds
248,Esperance,AU,-33.8667,121.9,64.44,59,94,8.34,overcast clouds
249,Olafsvik,IS,64.8945,-23.7142,26.28,70,22,17.45,few clouds
250,Klyuchi,RU,52.2667,79.1667,15.66,94,100,11.23,overcast clouds
251,Winston-Salem,US,36.0999,-80.2442,60.71,54,48,9.46,scattered clouds
252,Thunder Bay,CA,48.4001,-89.3168,-4.45,67,100,2.01,overcast clouds
253,Juneau,US,58.3019,-134.4197,42.85,94,100,0.0,overcast clouds
254,Pasaje,EC,-3.3333,-79.8167,80.67,85,77,0.87,light rain
