City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
195,Natitingou,BJ,75.81,scattered clouds,10.3042,1.3796,Auberge Centrale
197,Jacareacanga,BR,73.96,light rain,-6.2222,-57.7528,Casa do Ian😎
198,Muros,ES,50.85,scattered clouds,42.7762,-9.0603,Apartment Av. Castelao
200,Los Llanos De Aridane,ES,62.35,broken clouds,28.6585,-17.9182,Valle Aridane
201,Khandbari,NP,47.48,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
202,Klaksvik,FO,40.12,overcast clouds,62.2266,-6.589,Airbnb rooms
204,Salinopolis,BR,78.22,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
207,Gat,IL,54.39,clear sky,31.61,34.7642,OlusHome
209,Port Macquarie,AU,69.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
211,Luganville,VU,79.09,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
212,Meulaboh,ID,76.51,overcast clouds,4.1363,96.1285,Kost Pria
213,Nairobi,KE,60.33,broken clouds,-1.2833,36.8167,Hilton Nairobi
214,Nouadhibou,MR,66.43,broken clouds,20.931,-17.0347,El Medina
215,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
216,Paraiso,CR,66.96,broken clouds,9.8383,-83.8656,Hotel Rinconcito Verde
217,Lima,PE,74.89,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
220,Rawson,AR,74.75,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
222,Savannah Bight,HN,79.0,clear sky,16.45,-85.85,Villa on Dunbar Rock
224,Buckingham,GB,46.35,overcast clouds,51.9997,-0.9878,Best Western
225,Vestmannaeyjar,IS,31.86,scattered clouds,63.4427,-20.2734,Glamping & Camping
227,Mehnagar,IN,47.95,clear sky,25.8833,83.1167,Shiv kripa sweets
228,Ahipara,NZ,70.92,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
229,Whitehorse,CA,38.1,scattered clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
230,Surt,LY,56.44,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
231,Milevsko,CZ,32.56,few clouds,49.4509,14.36,Sport Hotel Milevsko
232,Margherita,IN,49.48,clear sky,27.2833,95.6833,Dehing Guest House
236,Tabou,CI,78.33,scattered clouds,4.423,-7.3528,hotêl doufoulougou
239,Sistranda,NO,39.9,light rain,63.7256,8.834,Hotell Frøya
240,Pisco,PE,70.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
242,Bangkalan,ID,75.15,moderate rain,-7.0455,112.7351,SPOT ON 2591 Griya Demangan Syariah
243,Sao Joao Da Barra,BR,74.71,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
244,Pathein,MM,62.89,broken clouds,16.7833,94.7333,New Pammawaddy Hotel
246,Tura,IN,52.84,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
248,Esperance,AU,64.44,overcast clouds,-33.8667,121.9,Hospitality Esperance
251,Winston-Salem,US,60.71,scattered clouds,36.0999,-80.2442,Winston-Salem Marriott
